Source,Target,Type,Id,Label,timeset,Weight
Marya_Dmitriyevna_Akhrosimova,Богданыч,Directed,5840,,,1
Count_Rostopchin,смотритель24_3_3_,Directed,5841,,,1
"немец-доктор18_1_1_",адъютант18_1_1_,Directed,5842,,,2
Mikhail_Ilarionovich_Kutuzov,другой генерал7_2_4_,Directed,5843,,,1
Count_Ilya_Rostov,Pierre_Bezukhov,Directed,5844,,,12
"первый солдат8_4_4_",фельдфебель8_4_4_,Directed,5845,,,1
Fedor_Ivanovich_Dolokhov,Mikhail_Ilarionovich_Kutuzov,Directed,5846,,,4
"первый солдат8_3_3_",Pierre_Bezukhov,Directed,5847,,,1
Yakov_Alpatych,Dron_Zakharych,Directed,5848,,,10
"Степан Степанович",Pierre_Bezukhov,Directed,5849,,,1
Anatole_Kuragin,Fedor_Ivanovich_Dolokhov,Directed,5850,,,16
AndreyBolkonsky,Staff_Captain_Tushin,Directed,5851,,,2
"девушка14_5_2_",NatashaRostova,Directed,5852,,,2
Staff_Captain_Tushin,штаб-офицер15_2_1_,Directed,5853,,,1
"сенатор22_1_3_",Pierre_Bezukhov,Directed,5854,,,1
AndreyBolkonsky,Prince_Bagration,Directed,5855,,,1
"камердинер6_1_2_",Pierre_Bezukhov,Directed,5856,,,1
NatashaRostova,Федор,Directed,5857,,,1
"старик11_2_3_",Princess_Mariya_Bolkonskaya,Directed,5858,,,2
regimental commander,Fedor_Ivanovich_Dolokhov,Directed,5859,,,8
"гренадер15_2_1_",Fedor_Ivanovich_Dolokhov,Directed,5860,,,1
Bilibin,дипломаты 11_2_1_,Directed,5861,,,1
Boris_Drubetskoy,Pierre_Bezukhov,Directed,5862,,,18
Pierre_Bezukhov,Abbe Morio,Directed,5864,,,3
Count_Vasily_Orlov-Denisov,унтер-офицер6_2_4_,Directed,5865,,,1
"офицер22_3_3_",Mavra_Kuzminishna,Directed,5866,,,4
Mikhail_Ilarionovich_Kutuzov,Capt._von_Toll,Directed,5868,,,3
Julie_Karagina,Pierre_Bezukhov,Directed,5869,,,13
Sonya_Rostova,NatashaRostova,Directed,5870,,,70
"французы33_3_3_",Pierre_Bezukhov,Directed,5871,,,1
"офицер21_2_3_",Pierre_Bezukhov,Directed,5873,,,9
"предводитель8_2_3_",Princess_Mariya_Bolkonskaya,Directed,5874,,,1
"солдат8_4_4_",Киселев,Directed,5875,,,1
NatashaRostova,Uncle,Directed,5876,,,4
Count_Ilya_Rostov,повар2_1_2_,Directed,5877,,,1
Petya_Rostov,esaul Lovaysky,Directed,5878,,,1
Nikolai_Rostov,офицер21_2_2_,Directed,5879,,,1
NatashaRostova,Mavra_Kuzminishna,Directed,5880,,,3
"генерал9_1_4_",Pierre_Bezukhov,Directed,5881,,,1
Mikhail_Ilarionovich_Kutuzov,Дохтуров,Directed,5882,,,1
Staff_Captain_Tushin,пехотный офицер16_2_1_,Directed,5883,,,5
"Богданыч",Pyotr_Nikolaitch_Shinshin,Directed,5884,,,2
Yakov_Alpatych,Prince_Nikolay_Bolkonsky,Directed,5885,,,3
Prince_Bagration,офицер17_2_1_,Directed,5886,,,1
Lieutenant_Alphonse_Karlovich_Berg,Boris_Drubetskoy,Directed,5887,,,2
Prince_Nesvitsky,казак7_2_1_,Directed,5888,,,1
Count_Ilya_Rostov,Marya_Lvovna_Karagina,Directed,5889,,,9
"Пелагеюшка",Pierre_Bezukhov,Directed,5890,,,2
"швейцар12_1_1_",официант12_1_1_,Directed,5891,,,1
Lelorgne d'Ideville,Napoleon_Bonaparte,Directed,5892,,,2
Nikolai_Rostov,Staff_Captain_Tushin,Directed,5893,,,5
Count_Ilya_Rostov,NatashaRostova,Directed,5894,,,15
Countess_Natalya_Rostova,Митенька,Directed,5895,,,1
Pierre_Bezukhov,солдат13_2_4_,Directed,5896,,,2
"ополченец17_2_3_",Julie_Karagina,Directed,5897,,,5
Count_Rostopchin,Prince_Nikolay_Bolkonsky,Directed,5898,,,5
Prince_Bagration,AndreyBolkonsky,Directed,5899,,,3
"солдаты8_3_3_",Pierre_Bezukhov,Directed,5900,,,3
Pierre_Bezukhov,Count_Ilya_Rostov,Directed,5901,,,8
Count_Ilya_Rostov,Митенька,Directed,5902,,,1
Pierre_Bezukhov,капитан13_2_4_,Directed,5903,,,1
Nikolai_Rostov,Kirsten,Directed,5904,,,9
Ilagin,Erza,Directed,5905,,,1
"денщик16_2_4_",Bolhovitinov,Directed,5906,,,1
Englishman,Fedor_Ivanovich_Dolokhov,Directed,5907,,,2
Balashev,General_Davoust,Directed,5908,,,1
"Богданыч",Nikolai_Rostov,Directed,5909,,,3
Nikolai_Rostov,Марья Генриховна,Directed,5910,,,2
"генерал3_5_2_",Prince_Nikolay_Bolkonsky,Directed,5911,,,4
Pierre_Bezukhov,NatashaRostova,Directed,5912,,,66
Lieutenant_Alphonse_Karlovich_Berg,тесть11_3_2_,Directed,5913,,,1
Prince_Bagration,солдаты18_2_1_,Directed,5914,,,1
Ilyin,Марья Генриховна,Directed,5915,,,1
"Иванушка",AndreyBolkonsky,Directed,5916,,,1
Abbe Morio,Pierre_Bezukhov,Directed,5917,,,1
Anatole_Kuragin,4,Directed,6717,,,1
Staff_Captain_Tushin,AndreyBolkonsky,Directed,5919,,,3
Ilyin,Nikolai_Rostov,Directed,5920,,,8
Pierre_Bezukhov,капрал11_2_4_,Directed,5922,,,1
"Мишка",Данило Терентьич,Directed,5923,,,1
"помещик 4_2_3_",Yakov_Alpatych,Directed,5924,,,1
Countess_Natalya_Rostova,Boris_Drubetskoy,Directed,5925,,,1
Lieutenant_Alphonse_Karlovich_Berg,Pierre_Bezukhov,Directed,5926,,,3
Nikolai_Rostov,Захар,Directed,5927,,,1
"адъютант Наполеона38_2_3_",Napoleon_Bonaparte,Directed,5928,,,2
Vera_Rostova,Boris_Drubetskoy,Directed,5929,,,1
Count_Ilya_Rostov,Princess_Anna_Mikhaylovna_Drubetskaya,Directed,5931,,,4
